arcd,acmdfclty_sn,ctprvn_nm,sgg_nm,vt_acmdfclty_nm,rdnmadr_cd,bdong_cd,hdong_cd,dtl_adres,fclty_ar,xcord,ycord
4146000000,64,경기도,용인시,독정초등학교 운동장,4.14631E+24,4146311800,4146359000,경기도 용인시 기흥구 보정동 1256,464,127.1161874,37.31857906
4146000000,66,경기도,용인시,이현초등학교 운동장,4.14631E+24,4146311800,4146359000,경기도 용인시 기흥구 보정동 1164,2270,127.0929788,37.31004333
4146000000,68,경기도,용인시,신월초등학교 운동장,4.14651E+24,4146510100,4146552000,경기도 용인시 수지구 풍덕천동 1097,2907,127.0928841,37.32069735
4146000000,67,경기도,용인시,풍덕초등학교 운동장,4.14651E+24,4146510100,4146551000,경기도 용인시 수지구 풍덕천동 664-1,3065,127.0955158,37.32988931
4146000000,69,경기도,용인시,정평중학교 운동장,4.14651E+24,4146510100,4146552000,경기도 용인시 수지구 풍덕천동 1117,9971,127.0880233,37.31784217
4146000000,131,경기도,용인시,죽전어린이공원,,4146510200,4146554000,경기도 용인시 수지구 죽전동 1484-0,3780,127.116804,37.32981751
4146000000,81,경기도,용인시,동천초등학교 운동장,4.14651E+24,4146510300,4146556000,경기도 용인시 수지구 동천동 154,5020,127.0937828,37.34424625
4146000000,115,경기도,용인시,손초어린이공원,,4146510300,4146556000,경기도 용인시 수지구 동천동 968,1880,127.0843873,37.33859447
4146000000,114,경기도,용인시,동천체육공원,4.14651E+24,4146510300,4146556000,경기도 용인시 수지구 동천동 872-0,2118,127.0959595,37.33476352
4146000000,82,경기도,용인시,고기초등학교 운동장,4.14651E+24,4146510400,4146556000,경기도 용인시 수지구 고기동 172-1,3702,127.0661123,37.35883024
4146000000,71,경기도,용인시,신일초등학교 운동장,4.14651E+24,4146510500,4146553000,경기도 용인시 수지구 신봉동 920,2340,127.0777715,37.32899247
4146000000,70,경기도,용인시,신리초등학교 운동장,4.14651E+24,4146510500,4146553000,경기도 용인시 수지구 신봉동 882,2176,127.0807556,37.32218703
4146000000,73,경기도,용인시,신봉중학교 운동장,4.14651E+24,4146510500,4146553000,경기도 용인시 수지구 신봉동 279-26,1951,127.0643624,37.32735152
4146000000,60,경기도,용인시,어정중학교 운동장,4.14631E+24,4146311600,4146358500,경기도 용인시 기흥구 중동 1103,3554,127.1452684,37.28053212
4146000000,57,경기도,용인시,초당초등학교 운동장,4.14631E+24,4146311600,4146358500,경기도 용인시 기흥구 중동 1010,3564,127.1607996,37.26318133
4146000000,56,경기도,용인시,석성초등학교 운동장,4.14631E+24,4146311600,4146358500,경기도 용인시 기흥구 중동 955,3450,127.1582624,37.27017425
4146000000,125,경기도,용인시,수지근린공원,,4146510100,4146551000,경기도 용인시 수지구 풍덕천동 696-0,15741,127.0909168,37.32405297
4146000000,129,경기도,용인시,두리소공원,,4146510100,4146551000,경기도 용인시 수지구 풍덕천동 1199,8849,127.0995,37.3276
4146000000,78,경기도,용인시,죽전초등학교 운동장,4.14651E+24,4146510200,4146555000,경기도 용인시 수지구 죽전동 513-1,2277,127.1102981,37.33352804
4146000000,74,경기도,용인시,용인대일초등학교 운동장,4.14651E+24,4146510200,4146554000,경기도 용인시 수지구 죽전동 1247,3408,127.1186595,37.32769753
4146000000,75,경기도,용인시,대청초등학교 운동장,4.14651E+24,4146510200,4146554000,경기도 용인시 수지구 죽전동 1389,4825,127.1288189,37.3340338
4146000000,76,경기도,용인시,현암초등학교 운동장,4.14651E+24,4146510200,4146554000,경기도 용인시 수지구 죽전동 1229,2000,127.1246225,37.32901218
4146000000,79,경기도,용인시,대현초등학교 운동장,4.14651E+24,4146510200,4146555000,경기도 용인시 수지구 죽전동 869-1,257,127.1068775,37.33355064
4146000000,111,경기도,용인시,죽전체육공원,,4146510200,4146554000,경기도 용인시 수지구 죽전동 555-4,3233,127.1134575,37.33030279
4146000000,98,경기도,용인시,죽전중학교 운동장,4.14651E+24,4146510200,4146555000,경기도 용인시 수지구 죽전동 873-4,4268,127.1075175,37.33258452
4146000000,132,경기도,용인시,새터어린이공원,,4146510200,4146554000,경기도 용인시 수지구 죽전동 1167-0,5100,127.1193579,37.33365123
4146000000,130,경기도,용인시,신정문화공원,4.14651E+24,4146510100,4146552000,경기도 용인시 수지구 풍덕천동 1088-0,15539,127.094265,37.32005068
4146000000,127,경기도,용인시,새마을근린공원,4.14651E+24,4146510100,4146551000,경기도 용인시 수지구 풍덕천동 689-0,15214,127.0949896,37.32881689
4146000000,135,경기도,용인시,상현근린공원,,4146510700,4146557000,경기도 용인시 수지구 상현동 57-1,21199,127.0870842,37.3118553
4146000000,133,경기도,용인시,도마치근린공원,,4146510500,4146553000,경기도 용인시 수지구 신봉동 980-0,16909,127.0620858,37.32732358
4146000000,123,경기도,용인시,신봉체육공원,4.14651E+24,4146510500,4146553000,경기도 용인시 수지구 신봉동 963-0,15560,127.0664,37.3292
4146000000,91,경기도,용인시,성서중학교 운동장,4.14651E+24,4146510600,4146559000,경기도 용인시 수지구 성복동 480-0,3004,127.0642686,37.31479077
4146000000,87,경기도,용인시,성복초등학교 운동장,4.14651E+24,4146510600,4146553000,경기도 용인시 수지구 성복동 104-5,3180,127.0780213,37.31908351
4146000000,89,경기도,용인시,성복고등학교 운동장,4.14651E+24,4146510600,4146559000,경기도 용인시 수지구 성복동 782-0,3319,127.0611567,37.32301891
4146000000,99,경기도,용인시,효자초등학교 운동장,4.14651E+24,4146510600,4146559000,경기도 용인시 수지구 성복동 732-0,1500,127.0675517,37.31705868
4146000000,90,경기도,용인시,성서초등학교 운동장,4.14651E+24,4146510600,4146559000,경기도 용인시 수지구 성복동 344-5,3750,127.0652276,37.32014947
4146000000,134,경기도,용인시,성서어린이공원,,4146510600,4146559000,경기도 용인시 수지구 성복동 283-0,3854,127.068776,37.31597699
